ascore,category,description,ein,tot_exp,fund_eff,fscore,NAME,tot_rev,score,state,size,CITY,ZIP,STATUS,impact_score,impact_efficiency,INCOME_AMT,REVENUE_AMT
100.0,Human Services,"Our mission statement, educating to end the cycle of domestic violence and save lives, speaks to our commitment and focus to help children that are victims and witnesses of domestic violence to navigate a difficult path. In the late 1990's, Joe and Ali Torre attended a life-changing seminar that proved to be a turning point for Joe, prompting him to begin speaking openly about his childhood experience with domestic violence.",03-0442514,2665036.0,0.15,77.53,THE JOE TORRE SAFE AT HOME FOUNDATION,2960740.0,84.11,NY,small,NEW YORK,10018-0562,1,High,1.17650242300674e-06,3210284.0,2549931.0
100.0,Community Development,"Jewish Federation & Foundation of Rockland County strengthens Jewish life in Rockland County and meets the critical needs of our local and global Jewish community. It helps Jews in need in Rockland, Israel, and 60 plus countries worldwide, advocates on behalf of Israel, including fighting anti-Semitism wherever it occurs, and convenes the Jewish community whenever there is a need to take collective action. Jewish Federation facilitates, advises, and collaborates with and for Rockland County Jewish institutions in order to provide added value and establish a more vibrant Jewish community.",13-3268920,1083412.0,0.1,90.23,JEWISH FEDERATION OF ROCKLAND COUNTY,951881.0,93.09,NY,small,WEST NYACK,10994-1756,1,Medium,2.025667229464545e-06,1028720.0,987329.0
96.0,Community Development,"The Jewish Federation of Metrowest New Jersey helps to make Jewish education and Jewish camping affordable, stands up for Israel, and connects people socially and culturally to their heritage in countless ways. We respond to emergencies near and far, from Haiti to the Jersey shore. The largest Jewish philanthropy in New Jersey, Federation encompasses Essex, Morris, Sussex, Union, and parts of Somerset County. We have the expertise and experience to leverage the work of our 27 local and overseas partner agencies so that what we accomplish, with the help of people like you, is far greater than what one organization or person can achieve on their own.",22-1487222,48649864.0,0.11,82.62,JEWISH FEDERATION OF GREATER METROWEST NJ,53262311.0,87.38,NJ,big,WHIPPANY,07981-0000,1,High,1.0606153704520901e-07,30822950.0,28285466.0
96.0,Community Development,"The mission of the Jewish Federation of Greater Hartford is to enhance, build and perpetuate Jewish life in Greater Hartford, in Israel and around the world. The Federation fulfills its mission through its annual campaign, financial resource development, planning, community relations efforts and by working in partnership with local, national and international Jewish charitable organizations, social service agencies, educational institutions and synagogues. The Federation is guided by the Jewish values of Tzedakah (righteous giving), Tikkun Olam (improving the world) and Klal Yisrael (the unity of the Jewish People).",06-0655482,5010647.0,0.07,89.4,JEWISH FEDERATION OF GREATER HARTFORD,5158883.0,91.98,CT,mid,HARTFORD,06117-1500,1,High,4.598633562023381e-07,6523677.0,6523677.0
85.0,Community Development,"The Jewish Federation of Atlantic and Cape May Counties is the umbrella organization for the organized Jewish Communities. The Federation cares for those in need, rescues those in harm's way and renews and strengthens the Jewish people in our area, in Israel and in 33 nations around the world. By participating in the Federation's programs and policies, individuals can contribute to two pillars of the Jewish faith: Tikkun Olam, the healing of the world and Tzedakah, righteousness.",21-0632971,966654.0,0.19,76.1,JEWISH FEDERATION OF ATLANTIC AND CAPE MAY COUNTIES,1164428.0,80.04,NJ,small,MARGATE CITY,08402-1525,1,High,2.9702764436286085e-06,1158835.0,1010007.0
89.0,Research and Public Policy,"Founded in 1944, the Jewish Council for Public Affairs (JCPA) works to serve as the representative voice of the organized American Jewish community in addressing the principal mandate of the Jewish community relations field, expressed in three interrelated goals: to safeguard the rights of Jews here and around the world;
to dedicate ourselves to the safety and security of the state of Israel; and to protect, preserve and promote a just American society, one that is democratic and pluralistic, one that furthers harmonious interreligious, inter ethnic, interracial and other intergroup relations.",13-1624104,3662470.0,0.11,62.53,JEWISH COUNCIL FOR PUBLIC AFFAIRS,3555374.0,72.38,NY,mid,NEW YORK,10016-8942,1,High,7.364343273642058e-07,4254879.0,4073683.0
96.0,Community Development,"The mission of the Jewish Alliance of Greater Rhode Island is to build and sustain the local and global Jewish community by maximizing philanthropic resources and volunteer efforts, as well as providing social, cultural, educational and wellness opportunities. Today's Alliance serves to enrich the quality of life for Jews in Rhode Island, in Israel, and around the world. The Jewish Alliance of Greater Rhode Island meets this goal through philanthropy, planning, education and wellness opportunities, community relations, and volunteer recruitment and training. The Alliance convenes agencies, synagogues, and organizations to address issues of common concern. Together, we transform Jewish tradition and values into action.",05-0259003,3504762.0,0.04,94.61,JEWISH ALLIANCE OF GREATER RHODE ISLAND,4208545.0,95.25,RI,mid,PROVIDENCE,02906-3451,1,High,3.537694965317618e-07,8504756.0,8480098.0
85.0,Religion,"Since 1929, The Jewish Agency for Israel has been working to secure a vibrant Jewish future. We were instrumental in founding and building the State of Israel and continue to serve as the main link between the Jewish state and Jewish communities everywhere. This global partnership has enabled us to address the Jewish People's greatest challenges in every generation. 
 
Today, we connect the global Jewish family, bringing Jews to Israel, and Israel to Jews, by providing meaningful Israel engagement and facilitating Aliyah. We build a better society in Israel - and beyond - energizing young Israelis and their worldwide peers to rediscover a collective sense of Jewish purpose. The Jewish Agency continues to be the Jewish world's first responder, prepared to address emergencies in Israel, and to rescue Jews from countries where they are at risk.",23-0053483,13851885.0,0.15,78.99,JEWISH AGENCY FOR ISRAEL-NORTH AMERICAN COUNCIL,15245808.0,81.74,NY,big,NEW YORK,10017-6706,1,High,1.967754021302118e-07,15245808.0,15245808.0
97.0,Human Services,"As the industry's charity, Jewelers for Children (JFC) is generously supported by those who create and sell fine jewelry and watches. Manufacturers, retail jewelers, trade associations, watch companies and those who provide professional services to the jewelry industry unite on behalf of children. Since 1999, more than $ 50 million has been invested in special programs to reach children whose lives have been devastated by catastrophic illness or life-threatening abuse and neglect.",13-3716474,2850793.0,0.16,66.55,JEWELERS FOR CHILDREN,2844882.0,76.25,NY,small,NEW YORK,10271-2802,1,High,8.18873393984556e-07,4387047.0,3663570.0
100.0,Health,"JED is a nonprofit that exists to protect emotional health and prevent suicide for our nation's teens and young adults. We're partnering with high schools and colleges to strengthen their mental health, substance abuse and suicide prevention programs and systems. We're equipping teens and young adults with the skills and knowledge to help themselves and each other. We're encouraging community awareness, understanding and action for young adult mental health.",13-4131139,4630866.0,0.1,93.4,THE JED FOUNDATION,4767497.0,95.33,NY,mid,NEW YORK,10016-0112,1,High,7.021168589257659e-07,5465845.0,4272793.0
85.0,Human and Civil Rights,"The Japanese American Citizens League (JACL) is a national organization whose ongoing mission is to secure and maintain the civil rights of Japanese Americans and all others who are victimized by injustice and bigotry. The leaders and members of the JACL also work to promote cultural, educational and social values and preserve the heritage and legacy of the Japanese American community. Founded in 1929, the JACL is the oldest and largest Asian American civil rights organization in the United States. The JACL monitors and responds to issues that enhance or threaten the civil and human rights of all Americans and implements strategies to effect positive social change, particularly to the Asian Pacific American community.",94-1245885,2415606.0,0.17,83.3,JAPANESE AMERICAN CITIZENS LEAGUE,2440209.0,84.12,CA,small,NEW YORK,10036-0000,1,Low,1.0,0.0,0.0
85.0,Human and Civil Rights,"The Japanese American Citizens League (JACL) is a national organization whose ongoing mission is to secure and maintain the civil rights of Japanese Americans and all others who are victimized by injustice and bigotry. The leaders and members of the JACL also work to promote cultural, educational and social values and preserve the heritage and legacy of the Japanese American community. Founded in 1929, the JACL is the oldest and largest Asian American civil rights organization in the United States. The JACL monitors and responds to issues that enhance or threaten the civil and human rights of all Americans and implements strategies to effect positive social change, particularly to the Asian Pacific American community.",94-1245885,2415606.0,0.17,83.3,JAPANESE AMERICAN CITIZENS LEAGUE,2440209.0,84.12,CA,small,BRIDGETON,08302-4864,1,Low,1.0,0.0,0.0
85.0,Human and Civil Rights,"The Japanese American Citizens League (JACL) is a national organization whose ongoing mission is to secure and maintain the civil rights of Japanese Americans and all others who are victimized by injustice and bigotry. The leaders and members of the JACL also work to promote cultural, educational and social values and preserve the heritage and legacy of the Japanese American community. Founded in 1929, the JACL is the oldest and largest Asian American civil rights organization in the United States. The JACL monitors and responds to issues that enhance or threaten the civil and human rights of all Americans and implements strategies to effect positive social change, particularly to the Asian Pacific American community.",94-1245885,2415606.0,0.17,83.3,JAPANESE AMERICAN CITIZENS LEAGUE,2440209.0,84.12,CA,small,LINCOLN,01773-0592,1,Low,1.0,0.0,0.0
59.0,Human Services,"Kolel Chibas Jerusalem provides grants to Kolel Chibas Jerusalem in Israel, which was founded in 1830 to provide food, shelter, medical and social services, and cash stipends to needy families. Kolel's activities include the ""Chalukah"", which is the distribution of quarterly stipends to families that can not make ends meet. This past Pesach, the Kolel distributed approximately $850,000 to over 4,000 families consisting of a total of over 16,000 persons. In addition, Kolel helps to pay for the expenses of a wedding, the birth of a baby, or to help cover medical expenses. Kolel operations also include three dental clinics, used by over 5,000 people annually for full range dental treatment, as well as a subsidized clothing store.",13-5655181,5312170.0,0.25,74.81,KOLEL CHIBAS JERUSALEM,8309295.0,65.97,NY,mid,BROOKLYN,11219-0000,1,High,6.943721140159012e-07,4507156.0,4320450.0
100.0,International,"Keep a Child Alive (KCA) was founded in 2003 by Grammy Award-winner Alicia Keys and AIDS activist Leigh Blake as an emergency push to get life-saving HIV medications to African children and families, who otherwise would not have had access to treatment.",73-1682844,4326731.0,0.08,79.81,KEEP A CHILD ALIVE,2528864.0,85.72,NY,mid,NEW YORK,10005-2854,1,High,6.398607662972537e-07,5537674.0,4688520.0
96.0,Health,"The Lymphoma Research Foundation (LRF) is the nation's largest lymphoma-focused voluntary health organization devoted exclusively to funding lymphoma research and providing people with lymphoma and healthcare professionals with up-to-date education about this type of cancer. The LRF mission is to eradicate lymphoma and serve those touched by the disease. The Foundation invests millions of dollars every year to combat lymphoma and assist those whose lives have been affected by a lymphoma diagnosis. LRF is dedicated to identifying a cure through an aggressively-funded research program and to helping members of the lymphoma community by providing comprehensive, disease-specific programs and services. LRF was formed in November 2001 by the merger of the Cure for Lymphoma Foundation (CFL) and the Lymphoma Research Foundation of America (LRFA)",95-4335088,8784268.0,0.25,70.66,LYMPHOMA RESEARCH FOUNDATION,10052527.0,79.06,NY,mid,NEW YORK,10006-1623,1,High,3.255105551680172e-07,9729452.0,9216291.0
100.0,Health,"The Lung Cancer Research Foundation is a nonprofit organization focused on supporting lung cancer research. Our mission is to improve lung cancer outcomes by funding research for the prevention, diagnosis, treatment and cure of lung cancer.",14-1935776,4554246.0,0.12,88.97,LUNG CANCER RESEARCH FOUNDATION,4633495.0,92.2,NY,mid,NEW YORK,10022-4038,1,High,8.02026239090438e-07,4327892.0,3740526.0
92.0,Community Development,"Local Initiatives Support Corporation (LISC) is dedicated to helping nonprofit community development organizations transform distressed neighborhoods into healthy and sustainable communities of choice and opportunity -- good places to work, do business and raise children. LISC mobilizes corporate, government and philanthropic support to provide local community development organizations with: loans, grants, and equity investments; local, statewide, and national policy support; and technical and management assistance. Since 1980, we have invested $9 billion which has leveraged $28.2 billion in total development. Our accomplishments include 244,755 affordable homes and apartments and 36 million square feet of retail and community space.",13-3030229,146056292.0,0.05,88.3,LOCAL INITIATIVES SUPPORT CORPORATION,154610978.0,89.97,NY,big,NEW YORK,10018-5903,1,High,2.1904592008573984e-08,138337380.0,136957580.0
71.0,Religion,"It is the mission of Living Waters to serve the local church by assisting in globally educating God's people in the principles of biblical evangelism; exhorting them to fulfill the Great Commission; and equipping them with every necessary resource along the way. We do this primarily through the teaching and preaching of God's Word, strategic conferences, academic and practical training opportunities, networking platforms, and the production and dissemination of various printed and audio/visual media. Our vision is to inspire in every Christian a God-glorifying passion to fulfill the Great Commission.",27-0094016,3413862.0,0.15,61.15,LIVING WATERS,3571713.0,65.71,CA,small,WESTON,04424-4230,1,Low,1.0,,0.0
71.0,Religion,"It is the mission of Living Waters to serve the local church by assisting in globally educating God's people in the principles of biblical evangelism; exhorting them to fulfill the Great Commission; and equipping them with every necessary resource along the way. We do this primarily through the teaching and preaching of God's Word, strategic conferences, academic and practical training opportunities, networking platforms, and the production and dissemination of various printed and audio/visual media. Our vision is to inspire in every Christian a God-glorifying passion to fulfill the Great Commission.",27-0094016,3413862.0,0.15,61.15,LIVING WATERS,3571713.0,65.71,CA,small,TORRINGTON,06790-1885,1,Low,1.0,,0.0
100.0,Religion,"Living on the Edge exists to help Christians live like Christians. The ministry was established in 1995 as a radio ministry of pastor and author Chip Ingram, and has since grown into an international discipleship ministry. The ministry creates Biblical teaching and tools that challenge and equip spiritually healthy Christians to become mature disciples of Jesus.",46-0484695,5163751.0,0.14,76.8,LIVING ON THE EDGE,5911757.0,83.59,GA,mid,PROVIDENCE,02906-4105,1,Low,1.0,0.0,0.0
100.0,Human Services,"LSA Family Health Service, founded by the Little Sisters of the Assumption, strengthens and empowers vulnerable families and children by meeting their basic needs for food, healthcare, education and a safe home, in the belief that affirming families in their own dignity improves the entire community. When LSA Family Health Service opened, its primary focus was on providing skilled nursing care to poor families in their own homes. Today, we offer a broad range of integrated health care, social service, education, early childhood development, advocacy and crisis counseling services to thousands of the most vulnerable families in New York City. Though our programs have evolved and expanded over the years, LSA's goal remains unchanged: to address the many dimensions of family health, and help at-risk families to be self-sustaining, contributing members of the community.",13-2867881,4959509.0,0.16,80.27,LITTLE SISTERS OF THE ASSUMPTION FAMILY HEALTH SERVICE,5531573.0,86.04,NY,mid,NEW YORK,10029-2210,1,High,5.03037845549272e-07,8574475.0,5963766.0
89.0,Education,"The mission of the Literacy Assistance Center (LAC) is to strengthen and expand the adult education system, and to advance adult literacy as a core value in our society and a foundation for equal opportunity and social justice.

Nationally, there are more than 36 million adults who lack basic reading, writing and math skills. In New York City alone, there are more than 2.2 million adults who lack a high school diploma or its equivalent, English language proficiency, or both. At the LAC, we envision a future in which every immigrant, every parent, and every adult in this country has the full range of knowledge and skills they need to secure employment, achieve economic security, access quality health care, support their children in their schooling, and actively participate in the civic life of their communities.

Since 1983, the LAC has been working to build the capacity and improve the quality of the Adult Basic Education (ABE), English for Speakers of Other Languages (ESOL), and High School Equivalency (HSE) programs that serve New York and the surrounding region's most educationally disadvantaged and economically marginalized communities. Our primary services include teacher training, instructional coaching, curriculum development support, data management and data analysis, and leadership support for adult education practitioners in community-based organizations (CBOs), libraries, community colleges, public school systems, and union-based training funds.",13-3179618,1917881.0,0.01,85.0,LITERACY ASSISTANCE CENTER,1955929.0,86.84,NY,small,NEW YORK,10004-2434,1,High,1.7889290337815396e-06,1676981.0,1676981.0
85.0,Health,"The LifeFlight Foundation is a nonprofit, tax-exempt organization that provides fundraising and public relations support to LifeFlight of Maine. Supported by the generosity of the many friends of LifeFlight, the Foundation raises funds for aircraft, hospital helipads, statewide aviation improvements and the many training outreach programs offered by LifeFlight staff, including trauma and critical care, brain injury, ground safety, cardiac care and injury prevention programs at elementary schools.",52-2377085,1785307.0,0.18,81.9,LIFEFLIGHT FOUNDATION,5408983.0,83.37,ME,small,CAMDEN,04843-0899,1,High,1.1418718705574047e-06,2667489.0,2627265.0
96.0,Human and Civil Rights,"Legal Momentum's mission is to ensure economic and personal security for all women and girls. Founded in 1970 as the NOW Legal Defense and Education Fund, it is the nation's oldest legal advocacy organization dedicated to advancing the rights of women and girls. For nearly 40 years, Legal Momentum has made historic and enduring contributions to the rights and opportunities available to women through its advocacy, litigation, and educational initiatives.",23-7085442,2191015.0,0.24,69.51,LEGAL MOMENTUM,1865626.0,78.25,NY,small,NEW YORK,10004-2614,1,High,1.098670901188469e-06,3083579.0,2730572.0
96.0,Education,"Founded in 1992, LEAP works to develop the strengths and talents of young leaders who implement year-round, community and school-based programming designed to achieve positive academic and social outcomes for children living in high poverty urban neighborhoods. LEAP reaches into neighborhoods that are laden with a shortage of positive resources, and we empower the children and youth of these communities to be positive resources themselves. The very essence of LEAP stands for the primary components of a developing student's life: Leadership, Education, Athletics, and Partnerships.",22-2906547,2331529.0,0.07,88.59,LEAP,1837557.0,91.45,CT,small,FARMINGTON,04938-6419,1,High,4.980474051481168e-07,6026662.0,6023523.0
96.0,Education,"Founded in 1992, LEAP works to develop the strengths and talents of young leaders who implement year-round, community and school-based programming designed to achieve positive academic and social outcomes for children living in high poverty urban neighborhoods. LEAP reaches into neighborhoods that are laden with a shortage of positive resources, and we empower the children and youth of these communities to be positive resources themselves. The very essence of LEAP stands for the primary components of a developing student's life: Leadership, Education, Athletics, and Partnerships.",22-2906547,2331529.0,0.07,88.59,LEAP,1837557.0,91.45,CT,small,DARIEN,06820-2523,1,Low,1.0,0.0,0.0
92.0,Human and Civil Rights,"Lawyers Alliance for New York is the leading provider of business and transactional legal services for nonprofit organizations that are improving the quality of life in New York City neighborhoods. Our network of pro bono lawyers from law firms and corporations and staff of experienced attorneys collaborate to deliver expert corporate, tax, real estate, employment, intellectual property, and other legal services to community organizations. By connecting lawyers, nonprofits, and communities, we help nonprofits to develop affordable housing, stimulate economic development, promote community arts, strengthen urban health, and operate and advocate for vital programs for children and young people, the elderly, and other low-income New Yorkers.",13-2666432,3003462.0,0.1,83.97,LAWYERS ALLIANCE FOR NEW YORK,3742300.0,87.33,NY,small,NEW YORK,10016-5123,1,High,1.055593165949098e-06,3477574.0,2842004.0
96.0,Human and Civil Rights,"LatinoJustice works to create a more just society by using and challenging the rule of law to secure transformative, equitable and accessible justice, by empowering our community and by fostering leadership through advocacy and education.",13-2722664,2720183.0,0.1,80.27,LATINOJUSTICE PRLDEF,2486397.0,85.76,NY,small,NEW YORK,10013-2815,1,High,1.1586080328612137e-06,2845813.0,2589314.0
89.0,Human Services,"La Leche League International's (LLLI) mission is to help mothers worldwide to breastfeed through mother-to-mother support, encouragement, information, and education, and to promote a better understanding of breastfeeding as an important element in the healthy development of the baby and mother.",36-2514518,938688.0,0.15,62.5,LA LECHE LEAGUE INTERNATIONAL,602359.0,72.36,NC,small,RENSSELAER,12144-9502,1,Low,1.0,0.0,0.0
89.0,Human Services,"La Leche League International's (LLLI) mission is to help mothers worldwide to breastfeed through mother-to-mother support, encouragement, information, and education, and to promote a better understanding of breastfeeding as an important element in the healthy development of the baby and mother.",36-2514518,938688.0,0.15,62.5,LA LECHE LEAGUE INTERNATIONAL,602359.0,72.36,NC,small,JAMAICA ESTATES,11432-0000,1,Low,1.0,0.0,0.0
89.0,Human Services,"La Leche League International's (LLLI) mission is to help mothers worldwide to breastfeed through mother-to-mother support, encouragement, information, and education, and to promote a better understanding of breastfeeding as an important element in the healthy development of the baby and mother.",36-2514518,938688.0,0.15,62.5,LA LECHE LEAGUE INTERNATIONAL,602359.0,72.36,NC,small,CLAREMONT,03743-2442,1,Low,1.0,0.0,0.0
89.0,Human Services,"La Leche League International's (LLLI) mission is to help mothers worldwide to breastfeed through mother-to-mother support, encouragement, information, and education, and to promote a better understanding of breastfeeding as an important element in the healthy development of the baby and mother.",36-2514518,938688.0,0.15,62.5,LA LECHE LEAGUE INTERNATIONAL,602359.0,72.36,NC,small,BRISTOL,04539-3001,1,Low,1.0,0.0,0.0
85.0,Education,"The Music Conservatory of Westchester (MCW) is a diverse community of people with a shared commitment to the arts, where students of all ages and abilities develop their talents in ways that support their individual goals and interests, guided by dedicated, excellent faculty. Founded in 1929, the Conservatory today serves over 3,500 students ranging in age from six months to 87 years, from 102 communities in a five-county area and representing more than 30 nationalities. All students are accepted; our doors are open to everyone. MCW is one of only 18 non-degree granting institutions to hold fully accredited membership in the National Association of Schools of Music.",13-6007082,2941062.0,0.44,70.56,MUSIC CONSERVATORY OF WESTCHESTER,3122869.0,76.63,NY,small,WHITE PLAINS,10606-1123,1,High,1.0352431268483404e-06,3162812.0,2897870.0
96.0,"Arts, Culture, Humanities","Founded in 1923, the Museum of the City of New York explores the past, present, and future of New York City and celebrate its heritage of diversity, opportunity, and perpetual transformation. To that end, the Museum presents a variety of exhibitions, public programs, and publications, all investigating what gives New York its singular character. Our collection of over 1.5 million objects and images includes items of decorative art; photography, prints and drawings; a theater and Broadway collection; a toy collection; fashion, costumes and textiles; and paintings and sculptures.",13-1624098,21990267.0,0.1,91.86,MUSEUM OF THE CITY OF NEW YORK,22057389.0,93.58,NY,big,NEW YORK,10029-5221,1,High,1.7240039739440934e-07,22595460.0,17401352.0
