ascore,category,tot_exp,admin_exp_p,fund_eff,fund_exp_p,program_exp_p,leader_comp_p,program_exp,fund_exp,fscore,NAME,tot_rev,subcategory,score,size,EIN,STATUS,impact_score,impact_efficiency,INCOME_AMT,REVENUE_AMT,NTEE_CD,ASSET_AMT,ACCT_PD,PF_FILING_REQ_CD,FILING_REQ_CD,INCOME_CD,ASSET_CD,FOUNDATION,DEDUCTIBILITY,RULING,CLASSIFICATION
96.0,Health,8784268.0,0.044,0.25,0.1989999999999999,0.7559999999999999,0.0254,6640906.607999999,1748069.332,70.66,LYMPHOMA RESEARCH FOUNDATION,10052527.0,"Diseases, Disorders, and Disciplines",79.06,mid,954335088,1,High,3.26e-07,9729452.0,9216291,G80,10579908.0,6,0,1,7,8,15,1.0,199608.0,1000.0
100.0,Health,4554246.0,0.065,0.12,0.12,0.8140000000000001,0.071,3707156.244,546509.52,88.97,LUNG CANCER RESEARCH FOUNDATION,4633495.0,Medical Research,92.2,mid,141935776,1,High,8.02e-07,4327892.0,3740526,H30,3478030.0,12,0,1,6,6,15,1.0,200512.0,1000.0
92.0,Community Development,146056292.0,0.107,0.05,0.048,0.8440000000000001,0.0034999999999999,123271510.448,7010702.016,88.3,LOCAL INITIATIVES SUPPORT CORPORATION,154610978.0,Housing and Neighborhood Development,89.97,big,133030229,1,High,2.19e-08,138337380.0,136957580,S200,532851740.0,12,0,1,9,9,15,1.0,198012.0,1000.0
71.0,Religion,3413862.0,0.46,0.15,0.104,0.435,0.0404,1485029.97,355041.64800000004,61.15,LIVING WATERS,3571713.0,Religious Activities,65.71,small,10366696,1,Low,1.0,,0,,,12,0,6,0,0,10,1.0,198002.0,7000.0
71.0,Religion,3413862.0,0.46,0.15,0.104,0.435,0.0404,1485029.97,355041.64800000004,61.15,LIVING WATERS,3571713.0,Religious Activities,65.71,small,61708708,1,Low,1.0,,0,X21,,12,0,6,0,0,10,1.0,200503.0,1270.0
100.0,Religion,5163751.0,0.12,0.14,0.141,0.738,0.0295,3810848.238,728088.891,76.8,LIVING ON THE EDGE,5911757.0,Religious Media and Broadcasting,83.59,mid,273376875,1,Low,1.0,0.0,0,C99,0.0,6,0,2,0,0,15,1.0,201101.0,2000.0
100.0,Human Services,4959509.0,0.095,0.16,0.131,0.772,0.044,3828740.948,649695.679,80.27,LITTLE SISTERS OF THE ASSUMPTION FAMILY HEALTH SERVICE,5531573.0,Children's and Family Services,86.04,mid,132867881,1,High,5.03e-07,8574475.0,5963766,,7359682.0,12,0,1,7,7,16,1.0,194603.0,1700.0
89.0,Education,1917881.0,0.091,0.01,0.006,0.901,0.0641,1728010.7809999995,11507.286,85.0,LITERACY ASSISTANCE CENTER,1955929.0,Adult Education Programs and Services,86.84,small,133179618,1,High,1.79e-06,1676981.0,1676981,B61B,1288164.0,6,0,1,6,6,15,1.0,198810.0,2000.0
85.0,Health,1785307.0,0.066,0.18,0.278,0.654,0.0,1167590.778,496315.346,81.9,LIFEFLIGHT FOUNDATION,5408983.0,Patient and Family Support,83.37,small,522377085,1,High,1.14e-06,2667489.0,2627265,E62,5620975.0,6,0,1,6,7,15,1.0,200302.0,1000.0
96.0,Human and Civil Rights,2191015.0,0.104,0.24,0.236,0.6579999999999999,0.0913,1441687.87,517079.54,69.51,LEGAL MOMENTUM,1865626.0,Advocacy and Education,78.25,small,237085442,1,High,1.1e-06,3083579.0,2730572,,2880203.0,6,0,1,6,6,15,1.0,197105.0,1200.0
96.0,Education,2331529.0,0.152,0.07,0.075,0.7709999999999999,0.0308,1797608.8589999997,174864.675,88.59,LEAP,1837557.0,Youth Education Programs and Services,91.45,small,222301862,1,High,4.98e-07,6026662.0,6023523,P820,4519026.0,6,0,1,7,6,15,1.0,198206.0,1000.0
96.0,Education,2331529.0,0.152,0.07,0.075,0.7709999999999999,0.0308,1797608.8589999997,174864.675,88.59,LEAP,1837557.0,Youth Education Programs and Services,91.45,small,452483855,1,Low,1.0,0.0,0,B90,0.0,12,0,2,0,0,15,1.0,201404.0,1200.0
92.0,Human and Civil Rights,3003462.0,0.13,0.1,0.104,0.764,0.0755,2294644.968,312360.048,83.97,LAWYERS ALLIANCE FOR NEW YORK,3742300.0,Advocacy and Education,87.33,small,132666432,1,High,1.06e-06,3477574.0,2842004,,5642067.0,6,0,1,6,7,15,1.0,198409.0,1000.0
96.0,Human and Civil Rights,2720183.0,0.126,0.1,0.072,0.8009999999999999,0.0711,2178866.583,195853.17600000004,80.27,LATINOJUSTICE PRLDEF,2486397.0,Advocacy and Education,85.76,small,132722664,1,High,1.16e-06,2845813.0,2589314,I80Z,2153470.0,6,0,1,6,6,15,1.0,197205.0,2000.0
89.0,Human Services,938688.0,0.384,0.15,0.1369999999999999,0.477,0.0,447754.176,128600.25599999998,62.5,LA LECHE LEAGUE INTERNATIONAL,602359.0,Children's and Family Services,72.36,small,364799466,1,Low,1.0,0.0,0,,0.0,3,0,2,0,0,16,0.0,197902.0,2100.0
89.0,Human Services,938688.0,0.384,0.15,0.1369999999999999,0.477,0.0,447754.176,128600.25599999998,62.5,LA LECHE LEAGUE INTERNATIONAL,602359.0,Children's and Family Services,72.36,small,383792824,1,Low,1.0,0.0,0,,0.0,3,0,2,0,0,16,1.0,197902.0,2100.0
89.0,Human Services,938688.0,0.384,0.15,0.1369999999999999,0.477,0.0,447754.176,128600.25599999998,62.5,LA LECHE LEAGUE INTERNATIONAL,602359.0,Children's and Family Services,72.36,small,464165700,1,Low,1.0,0.0,0,,0.0,3,0,2,0,0,16,0.0,197902.0,2100.0
89.0,Human Services,938688.0,0.384,0.15,0.1369999999999999,0.477,0.0,447754.176,128600.25599999998,62.5,LA LECHE LEAGUE INTERNATIONAL,602359.0,Children's and Family Services,72.36,small,472835454,1,Low,1.0,0.0,0,,0.0,3,0,2,0,0,16,0.0,197902.0,2100.0
85.0,Education,2941062.0,0.183,0.44,0.102,0.713,0.0342,2096977.206,299988.324,70.56,MUSIC CONSERVATORY OF WESTCHESTER,3122869.0,Youth Education Programs and Services,76.63,small,136007082,1,High,1.04e-06,3162812.0,2897870,A6E0,8811093.0,6,0,1,6,7,11,1.0,193811.0,2000.0
96.0,"Arts, Culture, Humanities",21990267.0,0.087,0.1,0.103,0.809,0.0146,17790126.003000002,2264997.501,91.86,MUSEUM OF THE CITY OF NEW YORK,22057389.0,Museums,93.58,big,131624098,1,High,1.72e-07,22595460.0,17401352,A540,58044024.0,6,0,1,8,9,15,1.0,194208.0,1200.0
93.0,"Arts, Culture, Humanities",62392418.0,0.102,0.15,0.093,0.8029999999999999,0.0097,50101111.654,5802494.874000001,84.18,MUSEUM OF SCIENCE,95565729.0,Museums,87.76,big,42103916,1,High,5.36e-08,80262344.0,55968388,A570,232405470.0,6,0,1,9,9,15,1.0,199312.0,2000.0
85.0,"Arts, Culture, Humanities",4447277.0,0.086,0.1,0.073,0.8390000000000001,0.0381,3731265.403,324651.221,74.14,MUSEUM OF AMERICAN FINANCE,2435565.0,Museums,78.86,mid,133540880,1,High,7.41e-07,4383291.0,4046660,,5757274.0,12,0,1,6,7,15,1.0,199201.0,1000.0
89.0,"Arts, Culture, Humanities",1386823.0,0.107,0.14,0.147,0.745,0.1211,1033183.135,203862.981,84.31,MUSEUM AT ELDRIDGE STREET,2042931.0,Museums,86.45,small,133379555,1,High,2.25e-06,1439482.0,1333773,C99Z,2253676.0,12,0,1,6,6,15,1.0,199806.0,1000.0
96.0,Research and Public Policy,2066258.0,0.216,0.22,0.098,0.685,0.0209,1415386.7300000002,202493.284,73.53,MOUNT WASHINGTON OBSERVATORY,1788138.0,Non-Medical Science & Technology Research,81.07,small,20225135,1,High,1.71e-06,1952176.0,1749337,U31Z,5342115.0,4,0,1,6,7,16,1.0,195110.0,8000.0
96.0,Research and Public Policy,11741518.0,0.166,0.04,0.038,0.795,0.0208,9334506.81,446177.684,90.36,MOUNT DESERT ISLAND BIOLOGICAL LABORATORY,12769377.0,Non-Medical Science & Technology Research,92.61,mid,10202467,1,High,2.41e-07,12422958.0,12422958,U500,29707576.0,12,0,1,8,8,16,1.0,195403.0,8000.0
100.0,"Arts, Culture, Humanities",4778160.0,0.096,0.17,0.105,0.797,0.0304,3808193.52,501706.8,82.29,MONTCLAIR ART MUSEUM,4759515.0,Museums,87.47,mid,221487582,1,High,4.79e-07,10754737.0,6257119,A510,25434246.0,6,0,1,8,8,15,1.0,192607.0,2000.0
96.0,Health,7151522.0,0.062,0.08,0.091,0.845,0.0139,6043036.09,650788.502,92.35,MISSION OF MERCY,6852563.0,Treatment and Prevention Services,93.89,mid,363941700,1,Low,1.0,,0,,,6,0,6,0,0,10,1.0,199107.0,7000.0
96.0,Health,7151522.0,0.062,0.08,0.091,0.845,0.0139,6043036.09,650788.502,92.35,MISSION OF MERCY,6852563.0,Treatment and Prevention Services,93.89,mid,710891750,1,Low,1.0,0.0,0,X99,0.0,12,0,2,0,0,15,1.0,200303.0,1000.0
100.0,International,2588178.0,0.054,0.1,0.114,0.831,0.0501,2150775.918,295052.292,89.45,MIRACLE FOUNDATION,2626023.0,Development and Relief Services,92.54,small,116532638,1,Low,3.21e-05,31606.0,31165,G30,134306.0,12,0,2,3,4,15,1.0,200104.0,1200.0
82.0,Religion,8542211.0,0.067,0.02,0.025,0.906,0.0045,7739243.165999999,213555.275,87.5,MESORAH HERITAGE FOUNDATION,10135359.0,Religious Media and Broadcasting,84.5,mid,112981112,1,High,3.63e-07,19578294.0,8269135,A75Z,6092846.0,12,0,1,8,7,15,1.0,199403.0,1000.0
93.0,Environment,1690583.0,0.126,0.31,0.0969999999999999,0.775,0.0642,1310201.825,163986.55099999998,77.85,MASSACHUSETTS HORTICULTURAL SOCIETY,1895965.0,"Botanical Gardens, Parks, and Nature Centers",83.57,small,42104714,1,High,1.97e-06,1634927.0,1522976,C030,5292091.0,9,0,1,6,7,16,1.0,194308.0,1200.0
93.0,Health,3253665.0,0.287,0.19,0.0579999999999999,0.654,0.0353,2127896.91,188712.57,71.9,MASONIC MEDICAL RESEARCH LABORATORY,2001768.0,Medical Research,79.52,small,135648611,1,High,1.08e-06,34008304.0,2769944,H920,35127164.0,12,0,1,8,8,15,1.0,194909.0,8000.0
82.0,Human Services,1581255.0,0.198,0.17,0.123,0.677,0.1215,1070509.635,194494.365,57.55,MASBIA,1598980.0,Social Services,67.39,small,201923521,1,High,1.86e-06,1613306.0,1613306,K34,233760.0,6,0,1,6,4,15,1.0,200503.0,1000.0
85.0,Research and Public Policy,42842812.0,0.074,0.04,0.027,0.897,0.0148,38430002.364,1156755.924,87.5,MARINE BIOLOGICAL LABORATORY,40401396.0,Non-Medical Science & Technology Research,86.19,big,42104690,1,High,6.48e-08,52717650.0,46272164,U500,208537650.0,6,0,1,9,9,15,1.0,193804.0,2800.0
97.0,Health,2120871.0,0.071,0.18,0.1989999999999999,0.7290000000000001,0.0405,1546114.9590000005,422053.329,80.52,MAKE-A-WISH FOUNDATION OF NORTHEAST NEW YORK,2041554.0,Patient and Family Support,86.06,small,141703503,1,High,1.3e-06,2980402.0,2311067,E86Z,3752611.0,8,0,1,6,6,15,1.0,199211.0,1000.0
97.0,Health,13532441.0,0.129,0.16,0.128,0.741,0.0045,10027538.781,1732152.448,78.4,MAKE-A-WISH FOUNDATION OF METRO NEW YORK AND WESTERN NEW YORK,12355509.0,Patient and Family Support,84.57,big,112645641,1,High,2.86e-07,13803628.0,10487341,,21384156.0,8,0,1,8,8,15,1.0,198309.0,1000.0
97.0,Health,1270648.0,0.072,0.16,0.179,0.748,0.0509,950444.704,227445.992,69.58,MAKE-A-WISH FOUNDATION OF MAINE,1725605.0,Patient and Family Support,78.38,small,10477512,1,High,2.1e-06,1639261.0,1425751,E86Z,1289104.0,8,0,1,6,6,15,1.0,199303.0,1000.0
85.0,Human and Civil Rights,16758025.0,0.105,0.04,0.049,0.845,0.0070999999999999,14160531.125,821143.225,89.34,MAKE THE ROAD NEW YORK,22009702.0,Advocacy and Education,86.98,big,113344389,1,High,1.96e-07,15411540.0,15330907,I80,6526658.0,12,0,1,8,7,15,1.0,199808.0,1000.0
92.0,Human Services,3657501.0,0.111,0.06,0.068,0.82,0.0305,2999150.82,248710.06800000003,90.49,MAINE SEACOAST MISSION,5129290.0,Social Services,91.21,mid,10216837,1,High,6.7e-07,18818400.0,4477743,,42226544.0,12,0,1,8,8,16,1.0,194110.0,1700.0
93.0,"Arts, Culture, Humanities",3443241.0,0.085,0.09,0.081,0.833,0.0373,2868219.753,278902.521,100.0,MAINE MARITIME MUSEUM,5225790.0,Museums,95.05,small,10271477,1,Low,1.0,,0,A500,,12,0,1,6,8,15,1.0,196405.0,2000.0
96.0,Human and Civil Rights,1995716.0,0.173,0.06,0.0819999999999999,0.7440000000000001,0.0447,1484812.704,163648.71199999997,84.78,MAINE JUSTICE FOUNDATION,1990174.0,Advocacy and Education,88.87,small,222559133,1,High,9.61e-07,4711497.0,3120352,I800,5571508.0,9,0,1,6,7,15,1.0,198412.0,1000.0
81.0,"Arts, Culture, Humanities",2301135.0,0.25,0.14,0.086,0.6629999999999999,0.0411,1525652.505,197897.61,79.65,MAINE HISTORICAL SOCIETY,1765572.0,"Libraries, Historical Societies and Landmark Preservation",80.31,small,10211530,1,High,2.41e-06,2366050.0,1243134,A82Z,13960263.0,6,0,1,6,8,15,1.0,193804.0,3000.0
93.0,Environment,1664926.0,0.138,0.07,0.076,0.784,0.0222,1305301.984,126534.376,95.61,MAINE CENTER FOR COASTAL FISHERIES,2091045.0,Environmental Protection and Conservation,94.15,small,270069386,1,High,2.01e-06,1497345.0,1495399,U21,2630943.0,12,0,1,6,6,15,1.0,200404.0,1200.0
77.0,"Arts, Culture, Humanities",3628374.0,0.165,0.1,0.065,0.768,0.0209,2786591.232,235844.31,90.15,NORTHERN STAGE COMPANY,4306277.0,Performing Arts,82.3,mid,43387268,1,High,9.23e-07,3249725.0,3249725,A650,10260124.0,5,0,1,6,8,15,1.0,199803.0,1200.0
89.0,Research and Public Policy,2037290.0,0.118,0.04,0.02,0.86,0.0409,1752069.4,40745.8,99.18,NORTHEAST ORGANIC FARMING ASSOCIATION OF VERMONT,2302485.0,Social and Public Policy Research,92.2,small,223260420,1,High,1.61e-06,1962994.0,1861597,A20Z,3134001.0,12,0,1,6,6,16,1.0,199403.0,2000.0
66.0,"Arts, Culture, Humanities",1148908.0,0.2269999999999999,0.1,0.155,0.617,0.1061,708876.236,178080.74,77.89,NEWPORT HISTORICAL SOCIETY,1428051.0,"Libraries, Historical Societies and Landmark Preservation",71.32,small,50264532,1,High,1.5e-06,2843532.0,1995289,A82Z,6812894.0,6,0,1,6,7,15,1.0,192804.0,2300.0
66.0,"Arts, Culture, Humanities",1148908.0,0.2269999999999999,0.1,0.155,0.617,0.1061,708876.236,178080.74,77.89,NEWPORT HISTORICAL SOCIETY,1428051.0,"Libraries, Historical Societies and Landmark Preservation",71.32,small,222549952,1,Low,1.0,0.0,0,A54,0.0,9,0,2,0,0,15,1.0,200011.0,2000.0
93.0,Human Services,3748523.0,0.144,0.26,0.131,0.7240000000000001,0.0617999999999999,2713930.652,491056.513,83.43,NEW YORK SOCIETY FOR THE PREVENTION OF CRUELTY TO CHILDREN,3928776.0,"Youth Development, Shelter, and Crisis Services",87.28,mid,131624134,1,High,1.06e-06,13507028.0,2835348,I720,23429582.0,12,0,1,8,8,11,1.0,193804.0,1000.0
93.0,Environment,7143770.0,0.123,0.14,0.152,0.723,0.0377,5164945.71,1085853.04,73.87,NEW YORK RESTORATION PROJECT,7117462.0,"Botanical Gardens, Parks, and Nature Centers",80.87,mid,133959056,1,High,3.79e-07,12993694.0,7922143,C500,17891664.0,9,0,1,8,8,15,1.0,199711.0,1000.0
96.0,"Arts, Culture, Humanities",88126380.0,0.069,0.27,0.212,0.7170000000000001,0.0093999999999999,63186614.46000001,18682792.56,89.28,NEW YORK PUBLIC RADIO,90174910.0,Public Broadcasting and Media,91.9,big,133015230,1,High,3.74e-08,89934310.0,80267150,A340,119831910.0,6,0,1,9,9,15,1.0,197912.0,1200.0
89.0,Human and Civil Rights,25484314.0,0.115,0.02,0.023,0.861,0.0087,21941994.354,586139.222,97.5,NEW YORK LEGAL ASSISTANCE GROUP INCORPORATED,26294978.0,Advocacy and Education,92.02,big,133505428,1,High,1.19e-07,25440268.0,25210056,,16676816.0,6,0,1,8,8,15,1.0,198911.0,1000.0
97.0,"Arts, Culture, Humanities",23375807.0,0.104,0.19,0.145,0.7490000000000001,0.0144999999999999,17508479.443000004,3389492.015,86.07,NEW YORK HALL OF SCIENCE,20810948.0,Museums,89.92,big,112104059,1,High,1.33e-07,25173484.0,22486240,A570,70493460.0,6,0,1,8,9,15,1.0,196411.0,1000.0
100.0,Human Services,12183573.0,0.067,0.05,0.051,0.8809999999999999,0.0178,10733727.813,621362.223,95.0,NEW YORK COMMON PANTRY,11969147.0,Social Services,96.46,mid,133127972,1,High,3.44e-07,9598413.0,8719234,K350,6857181.0,6,0,1,7,7,15,1.0,198211.0,1000.0
89.0,Human Services,6947513.0,0.096,0.23,0.2189999999999999,0.6829999999999999,0.0148,4745151.379,1521505.3469999998,80.22,NEW YORK CITY RESCUE MISSION,6890518.0,Homeless Services,83.99,mid,135596794,1,High,5.89e-07,5095926.0,5095926,,11748038.0,6,0,1,7,8,15,1.0,193410.0,7000.0
89.0,Human Services,750207.0,0.096,0.1,0.078,0.8240000000000001,0.1186,618170.5680000001,58516.146,66.75,THE NEW YORK CENTER FOR CHILDREN,749681.0,Children's and Family Services,75.23,small,954502444,1,Medium,2.81e-06,720969.0,711304,P300,49675.0,3,0,1,5,3,15,1.0,199501.0,1000.0
74.0,Research and Public Policy,23915742.0,0.158,0.12,0.115,0.725,0.0141999999999999,17338912.95,2750310.33,83.92,NEW YORK ACADEMY OF SCIENCES,24444173.0,Non-Medical Science & Technology Research,78.38,big,131773640,1,High,1.19e-07,28484200.0,25162512,,25599120.0,6,0,1,8,8,16,1.0,193603.0,2000.0
